DPVR10_S188	17198787    2690873    252051    471219
DPVR11_S189	42810194    6643866    706939    1091275
DPVR12_S190	19754479    2918443    310165    479970
DPVR13_S191	15171592    2288108    230428    372330
DPVR14_S192	14750388    2257277    233035    376175
DPVR15_S193	15892249    2611133    236734    412068
DPVR16_S194	19718671    3108221    299649    571524
DPVR17_S195	13035888    2129939    207288    324049
DPVR18_S196	14365997    2248227    243684    398108
DPVR1_S179	13210582    2163154    208352    371319
DPVR2_S180	14572472    2191102    222777    362819
DPVR3_S181	14323396    2142903    218819    370513
DPVR4_S182	13473770    1972892    198337    324441
DPVR5_S183	12606374    1940789    198784    314835
DPVR6_S184	14830765    2420500    222193    373759
DPVR7_S185	10173863    1946025    144035    270186
DPVR8_S186	17304271    3202357    236340    475933
DPVR9_S187	16822858    2272090    271006    387188
